"owner","isinactive","created","externalid","lastmodifiedby","abbreviation","scriptid","custrecord_in_gst_hsn_code","recordid","lastmodified","name","id","custrecord_in_gst_hsn_description"
"11","F","03/26/2024","","11","","VAL_130419_3463065_177","3923","581","03/26/2024","3923 ARTICLES FOR THE CONVEYANCE OR PACKING OF GOODS OF PLASTICS; STOPPERS, LIDS, CAPS AND OTHER CLOSURES, OF PLASTICS","581","3923 ARTICLES FOR THE CONVEYANCE OR PACKING OF GOODS OF PLASTICS; STOPPERS, LIDS, CAPS AND OTHER CLOSURES, OF PLASTICS"
"11","F","03/26/2024","","11","","VAL_130437_3463065_300","3307","584","03/26/2024","3307 PRE-SHAVE, SHAVING OR AFTER-SHAVE PREPARATIONS, PERSONAL DEODORANTS, BATH PREPARATIONS, DEPILATORIES AND OTHER PERFUMERY, COSMETIC OR TOILET PREPARATIONS, NOT ELSEWHERE SPECIFIED OR INCLUDED, PREPARED ROOM DEODORISERS, WHETHER OR NOT PERFUMED OR HAVING DISINFECTANT PROPERTIES","584","3307 PRE-SHAVE, SHAVING OR AFTER-SHAVE PREPARATIONS, PERSONAL DEODORANTS, BATH PREPARATIONS, DEPILATORIES AND OTHER PERFUMERY,
COSMETIC OR TOILET PREPARATIONS, NOT ELSEWHERE SPECIFIED OR INCLUDED, PREPARED ROOM DEODORISERS, WHETHER OR NOT PERFUMED OR
HAVING DISINFECTANT PROPERTIES"
"11","F","03/26/2024","","11","","VAL_130407_3463065_221","9603","579","03/26/2024","9603 BROOMS, BRUSHES (INCLUDING BRUSHES CONSTITUTING PARTS OF MACHINES, APPLIANCES OR VEHICLES), HAND-OPERATED MECHANICAL FLOOR SWEEPERS, NOT MOTORISED, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS FOR BROOM OR BRUSH MAKING; PAINT PADS AND ROLLERS; SQUEEGEES (OTHER THAN ROLLER SQUEEGEES)","579","9603 BROOMS, BRUSHES (INCLUDING BRUSHES CONSTITUTING PARTS OF MACHINES, APPLIANCES OR VEHICLES), HAND-OPERATED MECHANICAL FLOOR
SWEEPERS, NOT MOTORISED, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS FOR BROOM OR BRUSH MAKING; PAINT PADS AND ROLLERS;
SQUEEGEES (OTHER THAN ROLLER SQUEEGEES)"
"11","F","03/26/2024","","11","","VAL_130467_3463065_595","6501","589","03/26/2024","6501 HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (INCLUDING SLIT MANCHONS), OF FELT","589","6501 HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (INCLUDING SLIT
MANCHONS), OF FELT"
"11","F","06/17/2024","","11","","VAL_276424_3463065_540","84439959","729","06/17/2024","84439959 : Printing Machinery Used For Printing By Means Of Plates, Cylinders And Otherprinting Components Of Heading 8442; Other Printers, Copying Machines Andfacsimile Machines, Whether Or Not Combined; Parts And Accessories Thereof - Parts And Accessories -- Othe","729","84439959 : Printing Machinery Used For Printing By Means Of Plates, Cylinders And Otherprinting Components Of Heading 8442; Other Printers, Copying Machines Andfacsimile Machines, Whether Or Not Combined; Parts And Accessories Thereof - Parts And Accessories -- Othe"
"11","F","08/08/2024","","11","","VAL_394874_3463065_864","85176990","747","08/08/2024","85176990 : TELEPHONE SETS, INCLUDING TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRELESS NETWORKS; OTHER APPARATUS FOR THE TRANSMISSION OR RECEPTION OF VOICE, IMAGES OR OTHER DATA, INCLUDING APPARATUS FOR COMMUNICATION IN A WIRED OR WIRELESS NETWORK (SUCH AS A LOCAL OR WIDE AREA NETWORK), OTHER T","747","85176990 : TELEPHONE SETS, INCLUDING TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRELESS NETWORKS; OTHER APPARATUS FOR THE TRANSMISSION OR RECEPTION OF VOICE, IMAGES OR OTHER DATA, INCLUDING APPARATUS FOR COMMUNICATION IN A WIRED OR WIRELESS NETWORK (SUCH AS A LOCAL OR WIDE AREA NETWORK), OTHER THAN TRANSMISSION OR RECEPTION APPARATUS OF HEADING 8443, 8525, 8527 OR 8528 - OTHER APPARATUS FOR THE TRANSMISSION OR RECEPTION OF VOICE, IMAGES OR OTHER DATA, INCLUDING APPARATUS FOR COMMUNICATION IN A WIRED OR WIRELESS NETWORK (SUCH AS A LOCAL OR WIDE AREA NETWORK) -- OTHER: --- OTHER"
"11","F","06/07/2024","","11","","VAL_247887_3463065_431","42029900","725","06/07/2024","42029900 : Trunks, Suit Cases, Vanity Cases, Executivecases, Brief Cases, School Satchels, Spectacle Cases, Binocular Cases, Camera Cases, Musical Instrument Cases, Gun Cases, Holsters And Similar Containers; Travelling Bags, Insulated","725","42029900 : Trunks, Suit Cases, Vanity Cases, Executivecases, Brief Cases, School Satchels, Spectacle Cases, Binocular Cases, Camera Cases, Musical Instrument Cases, Gun Cases, Holsters And Similar Containers; Travelling Bags, Insulated"
"11","F","09/26/2024","","11","","VAL_431076_3463065_429","90318000","755","09/26/2024","90318000 : measuring or checking instruments, appliances, and machines that are not specified or included elsewhere in this chapter.","755","90318000 : measuring or checking instruments, appliances, and machines that are not specified or included elsewhere in this chapter."
"11","F","08/02/2024","","11","","VAL_393383_3463065_143","9963","746","08/02/2024","9963 : accommodation services","746","9963 : accommodation services"
"11","F","06/03/2024","","11","","VAL_246931_3463065_833","84819090","720","06/03/2024","84819090 : TAPS, COCKS, VALVES AND SIMILAR APPLIANCES FOR PIPES, BOILER SHELLS, TANKS, VATS OR THE LIKE, INCLUDING PRESSURE-REDUCING VALVES AND THERMOSTATICALLY CONTROLLED VALVES - PARTS : OTHER - ","720","84819090 : TAPS, COCKS, VALVES AND SIMILAR APPLIANCES FOR PIPES, BOILER SHELLS, TANKS, VATS OR THE LIKE, INCLUDING PRESSURE-REDUCING VALVES AND THERMOSTATICALLY CONTROLLED VALVES - PARTS : OTHER -"
"11","F","06/04/2024","","11","","VAL_247072_3463065_166","482090","722","06/04/2024","482090 : Blotting Pads, Book Covers (including Cover Boards And Book.","722","482090 : Blotting Pads, Book Covers (including Cover Boards And Book."
"11","F","03/26/2024","","11","","VAL_130346_3463065_437","63071090","573","03/26/2024","63071090 OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS FLOOR-CLOTHS, DISH-CLOTHS, DUSTERS AND SIMILAR CLEANING CLOTHS: OTHER","573","63071090 OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS FLOOR-CLOTHS, DISH-CLOTHS, DUSTERS AND SIMILAR CLEANING CLOTHS:
OTHER"
"11","F","03/26/2024","","11","","VAL_130461_3463065_408","4833","588","03/26/2024","4833 Glossy Color Print Out","588","4833 Glossy Color Print Out"
"11","F","05/02/2024","","11","","VAL_189601_3463065_788","3401","596","05/02/2024","3401: Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes, whether or not containing soap; organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whethe","596","3401: Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes, whether or not containing soap; organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap; paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent."
"11","F","05/02/2024","","11","","VAL_189614_3463065_888","67010010","598","05/02/2024","67010010 Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes) : Feather dusters","598","67010010 Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes) : Feather dusters"
"11","F","03/26/2024","","11","","VAL_130401_3463065_425","3402","578","03/26/2024","3402 ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE-ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401","578","3402 ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE-ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING
PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401"
"11","F","04/30/2024","","11","","VAL_162155_3463065_698","34029014","594","04/30/2024","34029014 : Other anionic surface active preparations in liquid form","594","34029014 : Other anionic surface active preparations in liquid form"
"1033","F","02/06/2024","","1033","","VAL_23925_4787343_218","998412","287","02/06/2024","998412 Fixed telephony services","287","Fixed telephony services"
"1033","F","02/06/2024","","1033","","VAL_23802_4787343_715","997163","164","02/06/2024","997163 Actuarial services","164","Actuarial services"
"1033","F","02/06/2024","","1033","","VAL_23901_4787343_889","998361","263","02/06/2024","998361 Advertising Services","263","Advertising Services"
"1033","F","02/06/2024","","1033","","VAL_23905_4787343_747","998365","267","02/06/2024","998365 Sale of internet advertising space","267","Sale of internet advertising space"
"1033","F","02/06/2024","","1033","","VAL_23916_4787343_457","998391","278","02/06/2024","998391 Specialty design services including interior design, fashion design, industrial design and other specialty des...","278","Specialty design services including interior design, fashion design, industrial design and other specialty design services"
"1033","F","02/06/2024","","1033","","VAL_23912_4787343_164","998384","274","02/06/2024","998384 Specialty photography services","274","Specialty photography services"
"1033","F","02/06/2024","","1033","","VAL_23922_4787343_352","998397","284","02/06/2024","998397 Sponsorship services and brand promotion services","284","Sponsorship services and brand promotion services"
"1033","F","02/06/2024","","1033","","VAL_23924_4787343_754","998411","286","02/06/2024","998411 Carrier services","286","Carrier services"
"1033","F","02/06/2024","","1033","","VAL_23928_4787343_685","998415","290","02/06/2024","998415 Data transmission services","290","Data transmission services"
"1033","F","02/06/2024","","1033","","VAL_23963_4787343_886","998524","325","02/06/2024","998524 Armoured car services","325","Armoured car services"
"1033","F","02/06/2024","","1033","","VAL_23965_4787343_134","998526","327","02/06/2024","998526 Training of guard dogs","327","Training of guard dogs"
"1033","F","02/06/2024","","1033","","VAL_23906_4787343_984","998366","268","02/06/2024","998366 Sale of other advertising space or time (except on commission)","268","Sale of other advertising space or time (except on commission)"
"1033","F","02/06/2024","","1033","","VAL_24156_4787343_957","999595","518","02/06/2024","999595 Services furnished by environmental advocacy groups","518","Services furnished by environmental advocacy groups"
"1033","F","02/06/2024","","1033","","VAL_24159_4787343_859","999598","521","02/06/2024","999598 Home owners associations","521","Home owners associations"
"1033","F","02/06/2024","","1033","","VAL_24163_4787343_462","999613","525","02/06/2024","999613 Audiovisual post-production services","525","Audiovisual post-production services"
"1033","F","02/06/2024","","1033","","VAL_24170_4787343_452","999631","532","02/06/2024","999631 Services of performing artists including actors, readers, musicians, singers, dancers, television personalitie...","532","Services of performing artists including actors, readers, musicians, singers, dancers, television personalities, independent models and the like"
"1033","F","02/06/2024","","1033","","VAL_24139_4787343_773","999431","501","02/06/2024","999431 Waste preparation, consolidation and storage services","501","Waste preparation, consolidation and storage services"
"1033","F","02/06/2024","","1033","","VAL_23862_4787343_675","998231","224","02/06/2024","998231 Corporate tax consulting and preparation services","224","Corporate tax consulting and preparation services"
"1033","F","02/06/2024","","1033","","VAL_24136_4787343_278","999422","498","02/06/2024","999422 Collection services of non-hazardous recyclable materials","498","Collection services of non-hazardous recyclable materials"
"1033","F","02/06/2024","","1033","","VAL_23865_4787343_401","998311","227","02/06/2024","998311 Management consulting and management services including financial, strategic, human resources, marketing, oper...","227","Management consulting and management services including financial, strategic, human resources, marketing, operations and supply chain management"
"1033","F","02/06/2024","","1033","","VAL_23920_4787343_723","998395","282","02/06/2024","998395 Translation and interpretation services","282","Translation and interpretation services"
"1033","F","02/06/2024","","1033","","VAL_24152_4787343_513","999591","514","02/06/2024","999591 Religious services","514","Religious services"
"1033","F","02/06/2024","","1033","","VAL_24154_4787343_221","999593","516","02/06/2024","999593 Services furnished by human rights organisations","516","Services furnished by human rights organisations"
"1033","F","02/06/2024","","1033","","VAL_24155_4787343_248","999594","517","02/06/2024","999594 Cultural and recreational associations","517","Cultural and recreational associations"
"1033","F","02/06/2024","","1033","","VAL_24157_4787343_347","999596","519","02/06/2024","999596 Services provided by youth associations","519","Services provided by youth associations"
"1033","F","02/06/2024","","1033","","VAL_24166_4787343_514","999621","528","02/06/2024","999621 Performing arts event promotion and organisation services","528","Performing arts event promotion and organisation services"
"1033","F","02/06/2024","","1033","","VAL_24168_4787343_833","999623","530","02/06/2024","999623 Performing arts facility operation services","530","Performing arts facility operation services"
"1033","F","02/06/2024","","1033","","VAL_23873_4787343_615","998322","235","02/06/2024","998322 Architectural services for residential building projects","235","Architectural services for residential building projects"
"1033","F","02/06/2024","","1033","","VAL_23882_4787343_100","998333","244","02/06/2024","998333 Engineering services for industrial and manufacturing projects","244","Engineering services for industrial and manufacturing projects"
"1033","F","02/06/2024","","1033","","VAL_23884_4787343_781","998335","246","02/06/2024","998335 Engineering services for power projects","246","Engineering services for power projects"
"1033","F","02/06/2024","","1033","","VAL_23886_4787343_277","998337","248","02/06/2024","998337 Engineering services for waste management projects (hazardous and non-hazardous), for water, sewerage and drai...","248","Engineering services for waste management projects (hazardous and non-hazardous), for water, sewerage and drainage projects"
"1033","F","02/06/2024","","1033","","VAL_23888_4787343_484","998339","250","02/06/2024","998339 Project management services for construction projects","250","Project management services for construction projects"
"1033","F","02/06/2024","","1033","","VAL_23890_4787343_696","998342","252","02/06/2024","998342 Subsurface surveying services","252","Subsurface surveying services"
"1033","F","02/06/2024","","1033","","VAL_24172_4787343_196","999633","534","02/06/2024","999633 Original works of authors, composers and other artists except performing artists, painters and sculptors","534","Original works of authors, composers and other artists except performing artists, painters and sculptors"
"1033","F","02/06/2024","","1033","","VAL_24191_4787343_771","999721","553","02/06/2024","999721 Hairdressing and barbers services","553","Hairdressing and barbers services"
"1033","F","02/06/2024","","1033","","VAL_24193_4787343_476","999723","555","02/06/2024","999723 Physical well-being services including health club and fitness centre","555","Physical well-being services including health club and fitness centre"
"1033","F","02/06/2024","","1033","","VAL_23784_4787343_225","997141","146","02/06/2024","997141 Life reinsurance services","146","Life reinsurance services"
"1033","F","02/06/2024","","1033","","VAL_23828_4787343_993","997326","190","02/06/2024","997326 Leasing or rental services concerning textiles, clothing and footwear","190","Leasing or rental services concerning textiles, clothing and footwear"
"1033","F","02/06/2024","","1033","","VAL_23834_4787343_707","997334","196","02/06/2024","997334 Licensing services for the right to reprint and copy manuscripts, books, journals and periodicals","196","Licensing services for the right to reprint and copy manuscripts, books, journals and periodicals"
"1033","F","02/06/2024","","1033","","VAL_23836_4787343_258","997336","198","02/06/2024","997336 Licensing services for the right to use trademarks and franchises","198","Licensing services for the right to use trademarks and franchises"
"1033","F","02/06/2024","","1033","","VAL_23932_4787343_101","998423","294","02/06/2024","998423 Fax, telephony over the internet","294","Fax, telephony over the internet"
"1033","F","02/06/2024","","1033","","VAL_24106_4787343_429","999259","468","02/06/2024","999259 Specialised education services","468","Specialised education services"
"1033","F","02/06/2024","","1033","","VAL_24120_4787343_244","999319","482","02/06/2024","999319 Other human health services including homeopathy, unani, ayurveda, naturopathy, acupuncture and the like","482","Other human health services including homeopathy, unani, ayurveda, naturopathy, acupuncture and the like"
"1033","F","02/06/2024","","1033","","VAL_24151_4787343_692","999520","513","02/06/2024","999520 Services furnished by trade unions","513","Services furnished by trade unions"
"1033","F","02/06/2024","","1033","","VAL_24153_4787343_720","999592","515","02/06/2024","999592 Services furnished by political organisations","515","Services furnished by political organisations"
"1033","F","02/06/2024","","1033","","VAL_23690_4787343_619","995478","52","02/06/2024","995478 Other building completion and finishing services nowhere else classified","52","Other building completion and finishing services nowhere else classified"
"1033","F","02/06/2024","","1033","","VAL_23653_4787343_784","995428","15","02/06/2024","995428 General construction services of other civil engineering works nowhere else classified","15","General construction services of other civil engineering works nowhere else classified"
"1033","F","02/06/2024","","1033","","VAL_23662_4787343_823","995442","24","02/06/2024","995442 Installation, assembly and erection services of other prefabricated structures and constructions","24","Installation, assembly and erection services of other prefabricated structures and constructions"
"1033","F","02/06/2024","","1033","","VAL_23664_4787343_523","995444","26","02/06/2024","995444 Other assembly and erection services nowhere else classified","26","Other assembly and erection services nowhere else classified"
"1033","F","02/06/2024","","1033","","VAL_23666_4787343_771","995451","28","02/06/2024","995451 Pile driving and foundation services","28","Pile driving and foundation services"
"1033","F","02/06/2024","","1033","","VAL_23699_4787343_940","996329","61","02/06/2024","996329 Other room or unit accommodation services nowhere else classified","61","Other room or unit accommodation services nowhere else classified"
"1033","F","02/06/2024","","1033","","VAL_23701_4787343_813","996332","63","02/06/2024","996332 Services provided by Hotels, Inn, Guest House, Club and the like including room services, takeaway services an...","63","Services provided by Hotels, Inn, Guest House, Club and the like including room services, takeaway services and door delivery of food"
"1033","F","02/06/2024","","1033","","VAL_23703_4787343_692","996334","65","02/06/2024","996334 Catering Services in exhibition halls, events, marriage halls and other outdoor/indoor functions","65","Catering Services in exhibition halls, events, marriage halls and other outdoor/indoor functions"
"1033","F","02/06/2024","","1033","","VAL_23705_4787343_447","996336","67","02/06/2024","996336 Preparation or supply services of food, edible preparations, alcoholic and non-alcoholic beverages to airlines...","67","Preparation or supply services of food, edible preparations, alcoholic and non-alcoholic beverages to airlines and other transportation operators"
"1033","F","02/06/2024","","1033","","VAL_24162_4787343_893","999612","524","02/06/2024","999612 Motion picture, videotape, television and radio programme production services","524","Motion picture, videotape, television and radio programme production services"
"1033","F","02/06/2024","","1033","","VAL_24174_4787343_415","999642","536","02/06/2024","999642 Botanical, zoological and nature reserve services","536","Botanical, zoological and nature reserve services"
"1033","F","02/06/2024","","1033","","VAL_24181_4787343_541","999692","543","02/06/2024","999692 Gambling and betting services including similar online services","543","Gambling and betting services including similar online services"
"1033","F","02/06/2024","","1033","","VAL_24018_4787343_984","998718","380","02/06/2024","998718 Maintenance and repair services of elevators and escalators","380","Maintenance and repair services of elevators and escalators"
"1033","F","02/06/2024","","1033","","VAL_24020_4787343_584","998721","382","02/06/2024","998721 Repair services of footwear and leather goods","382","Repair services of footwear and leather goods"
"1033","F","02/06/2024","","1033","","VAL_24022_4787343_288","998723","384","02/06/2024","998723 Repair services of garments and household textiles","384","Repair services of garments and household textiles"
"1033","F","02/06/2024","","1033","","VAL_24027_4787343_329","998729","389","02/06/2024","998729 Maintenance and repair services of other goods nowhere else classified","389","Maintenance and repair services of other goods nowhere else classified"
"1033","F","02/06/2024","","1033","","VAL_24029_4787343_261","998732","391","02/06/2024","998732 Installation services of industrial, manufacturing and service industry machinery and equipment","391","Installation services of industrial, manufacturing and service industry machinery and equipment"
"1033","F","02/06/2024","","1033","","VAL_23668_4787343_884","995453","30","02/06/2024","995453 Roofing and waterproofing services","30","Roofing and waterproofing services"
"1033","F","02/06/2024","","1033","","VAL_23670_4787343_345","995455","32","02/06/2024","995455 Structural steel erection services","32","Structural steel erection services"
"1033","F","02/06/2024","","1033","","VAL_23672_4787343_875","995457","34","02/06/2024","995457 Scaffolding services","34","Scaffolding services"
"1033","F","02/06/2024","","1033","","VAL_23812_4787343_677","997221","174","02/06/2024","997221 Property management services on a fee or commission basis or on contract basis","174","Property management services on a fee or commission basis or on contract basis"
"1033","F","02/06/2024","","1033","","VAL_23814_4787343_505","997223","176","02/06/2024","997223 Land sales on a fee or commission basis or on contract basis","176","Land sales on a fee or commission basis or on contract basis"
"1033","F","02/06/2024","","1033","","VAL_23816_4787343_290","997311","178","02/06/2024","997311 Leasing or rental services concerning transport equipments including containers, with or without operator","178","Leasing or rental services concerning transport equipments including containers, with or without operator"
"1033","F","02/06/2024","","1033","","VAL_23842_4787343_595","998113","204","02/06/2024","998113 Research and experimental development services in medical sciences and pharmacy","204","Research and experimental development services in medical sciences and pharmacy"
"1033","F","02/06/2024","","1033","","VAL_23844_4787343_656","998121","206","02/06/2024","998121 Research and experimental development services in social sciences","206","Research and experimental development services in social sciences"
"1033","F","02/06/2024","","1033","","VAL_23892_4787343_913","998344","254","02/06/2024","998344 Surface surveying and map-making services","254","Surface surveying and map-making services"
"1033","F","02/06/2024","","1033","","VAL_23900_4787343_212","998359","262","02/06/2024","998359 Other veterinary services nowhere else classified","262","Other veterinary services nowhere else classified"
"1033","F","02/06/2024","","1033","","VAL_23902_4787343_667","998362","264","02/06/2024","998362 Purchase or sale of advertising space or time, on commission","264","Purchase or sale of advertising space or time, on commission"
"1033","F","02/06/2024","","1033","","VAL_23908_4787343_721","998372","270","02/06/2024","998372 Public opinion polling services","270","Public opinion polling services"
"1033","F","02/06/2024","","1033","","VAL_23910_4787343_573","998382","272","02/06/2024","998382 Advertising and related photography services","272","Advertising and related photography services"
"1033","F","02/06/2024","","1033","","VAL_23724_4787343_774","996512","86","02/06/2024","996512 Railway transport services of Goods including letters, parcels, live animals, household and office furniture, ...","86","Railway transport services of Goods including letters, parcels, live animals, household and office furniture, intermodal containers, bulk cargo and the like"
"1033","F","02/06/2024","","1033","","VAL_23726_4787343_382","996519","88","02/06/2024","996519 Other land transport services of goods nowhere else classified","88","Other land transport services of goods nowhere else classified"
